PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"050-005924",181.63216547400,1575.92995541000,"050-005924","050-005924-00","050-T140AAAB-0200",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.571,465,1.49,1.024,1.2,75,,465,543,1380,477,208200,2024,Base,550,550 - CONDOMINIUM UNIT,49500,208200,0,17330,72870
"050-005925",177.62991982900,1488.07622485000,"050-005925","050-005925-00","050-T140AAAB-0190",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.016,1.2,75,,1008,0,1008,1013,165400,2024,Base,550,550 - CONDOMINIUM UNIT,49500,165400,0,17330,57890
"050-005926",180.55461743400,1554.56983760000,"050-005926","050-005926-00","050-T140AAAB-0170",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005927",178.52857239500,1540.45665206000,"050-005927","050-005927-00","050-T140AAAB-0180",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.571,465,1.49,1.024,1.2,75,,465,543,1380,477,208200,2024,Base,550,550 - CONDOMINIUM UNIT,49500,208200,0,17330,72870
"050-005928",179.84402257600,1536.12461591000,"050-005928","050-005928-00","050-T140AAAB-0210",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005929",182.27282138500,1618.90775281000,"050-005929","050-005929-00","050-T140AAAB-0220",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,F - FAIR,0.571,465,1.49,1.024,1.2,65,,465,543,1380,477,180400,2024,Base,550,550 - CONDOMINIUM UNIT,49500,180400,0,17330,63140
"050-005930",180.63769424800,1571.16687915000,"050-005930","050-005930-00","050-T140AAAB-0240",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.571,465,1.49,1.024,1.2,75,,465,543,1380,477,208200,2024,Base,550,550 - CONDOMINIUM UNIT,49500,208200,0,17330,72870
"050-005931",178.50835345200,1490.87197396000,"050-005931","050-005931-00","050-T140AAAB-0230",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005932",180.34169289900,1531.55070707000,"050-005932","050-005932-00","050-T140AAAB-0280",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005933",179.87105576200,1574.30470610000,"050-005933","050-005933-00","050-T140AAAB-0250",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1015,173500,2024,Base,550,550 - CONDOMINIUM UNIT,49500,173500,0,17330,60730
"050-005934",181.05507264800,1574.79910439000,"050-005934","050-005934-00","050-T140AAAB-0270",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005935",177.71837622300,1487.01946006000,"050-005935","050-005935-00","050-T140AAAB-0260",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1015,173500,2024,Base,550,550 - CONDOMINIUM UNIT,49500,173500,0,17330,60730
"050-005936",181.33834353400,1580.69728183000,"050-005936","050-005936-00","050-T140AAAB-0290",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.571,465,1.49,1.024,1.2,75,,465,543,1380,477,208200,2024,Base,550,550 - CONDOMINIUM UNIT,49500,208200,0,17330,72870
"050-005937",178.83908719000,1514.83219160000,"050-005937","050-005937-00","050-T140AAAB-0300",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005938",180.50666171100,1545.91040091000,"050-005938","050-005938-00","050-T140AAAB-0320",1,4,2,,,2,,"1",12 - CONDOMINIUM,1 - 1 Story,"0 - NO ATTIC","0 - NONE",,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,8,1,1,1 - 1 Car Space,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.888,1008,1,1.032,1.2,75,,1008,0,1008,1013,167300,2024,Base,550,550 - CONDOMINIUM UNIT,49500,167300,0,17330,58560
"050-005939",178.98606182400,1536.95843638000,"050-005939","050-005939-00","050-T140AAAB-0310",1,5,2,,,2,1,"1",12 - CONDOMINIUM,1.5 - 1 1/2 Story,"0 - NO ATTIC","0 - NONE",,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,9 - Well / Septic,1991,,,A - AVERAGE,0.571,465,1.49,1.024,1.2,75,,465,543,1380,477,208200,2024,Base,550,550 - CONDOMINIUM UNIT,49500,208200,0,17330,72870
"050-005940",395.98432681000,10077.21478100000,"050-005940","050-005940-00","050-N042MMM-04400",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,375,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,290,1950,840,275600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,249600,0,28700,87360
"050-005941",379.06060861800,8658.91659446000,"050-005941","050-005941-00","050-N042MMM-04300",1,7,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,F - FAIR,0.712,706,1.69,1,1.05,70,,706,130,1542,712,186100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,84500,186100,0,29580,65140
"050-005942",378.54235196600,8629.97505641000,"050-005942","050-005942-00","050-N042MMM-04200",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,250,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,290,1950,838,256500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,84500,255100,0,29580,89290
"050-005943",404.09068188900,9518.27682310000,"050-005943","050-005943-00","050-N042MMM-04100",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,186,1598,715,220500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,220500,0,28700,77180
"050-005944",392.36797830600,8852.79462435000,"050-005944","050-005944-00","050-N042MMM-04000",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,325,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,206,1618,713,229900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,229900,0,28700,80470
"050-005945",376.94880288700,8582.67881709000,"050-005945","050-005945-00","050-N042MMM-03900",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,2018,2018,G - GOOD,0.784,830,1.69,1,1.05,89,,830,290,1950,840,272300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,84800,272300,0,29680,95310
"050-005946",376.66402572100,8564.91651769000,"050-005946","050-005946-00","050-N042MMM-03800",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,716,216400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,84800,216400,0,29680,75740
"050-005947",376.72433530700,8566.39330955000,"050-005947","050-005947-00","050-N042MMM-03700",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,400,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,288,1948,838,258100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,84800,258100,0,29680,90340
"050-005948",533.78144810000,13598.55015900000,"050-005948","050-005948-00","050-N042MMM-03600",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,450,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,714,227000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,227000,0,28700,79450
"050-005949",540.31074522800,14915.58079880000,"050-005949","050-005949-00","050-N042MMM-03400",1,6,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1290,170800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,170800,0,28700,59780
"050-005950",516.35652361300,13740.89753890000,"050-005950","050-005950-00","050-N042MMM-03300",1,6,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,715,220500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,220500,0,28700,77180
"050-005951",514.28843208600,14865.84883390000,"050-005951","050-005951-00","050-N042MMM-03200",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,186,1598,715,216700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,216700,0,28700,75850
"050-005952",479.47032639000,13174.27874680000,"050-005952","050-005952-00","050-N042MMM-03100",1,6,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,400,2 - HEAT/AIR CON,4,10,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1290,189100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,189100,0,28700,66190
"050-005953",445.50923702400,10673.66162560000,"050-005953","050-005953-00","050-N042MMM-03000",1,5,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,300,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,2020,2020,A - AVERAGE,0.712,706,1.69,1,1.05,84,,706,130,1542,714,235300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,96300,235300,0,33710,82360
"050-005954",443.27333282400,10599.83864190000,"050-005954","050-005954-00","050-N042MMM-02900",1,6,3,,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,300,2 - HEAT/AIR CON,2,13,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,711,226000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,96300,226000,0,33710,79100
"050-005955",440.85088888600,10509.34877940000,"050-005955","050-005955-00","050-N042MMM-02800",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,258,1918,839,242300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,95400,242300,0,33390,84810
"050-005956",438.53480612600,10435.29608140000,"050-005956","050-005956-00","050-N042MMM-02700",1,5,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,143,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,F - FAIR,1.047,1280,1,1,0.95,70,,1280,16,1296,1288,154800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,95400,154800,0,33390,54180
"050-005957",436.19229647300,10357.81156700000,"050-005957","050-005957-00","050-N042MMM-02600",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,312,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,711,221400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,95400,221400,0,33390,77490
"050-005958",433.78436938500,10267.28800840000,"050-005958","050-005958-00","050-N042MMM-02500",1,5,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1286,167200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,94500,167200,0,33080,58520
"050-005959",431.55233993100,10191.64498980000,"050-005959","050-005959-00","050-N042MMM-02400",1,6,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,717,212900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,94500,212900,0,33080,74520
"050-005960",428.97918312100,10230.93272270000,"050-005960","050-005960-00","050-N042MMM-02300",1,5,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,371,2 - HEAT/AIR CON,2,8,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1287,178700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,178700,0,28700,62550
"050-005961",418.19217780300,9520.75054039000,"050-005961","050-005961-00","050-N042MMM-02200",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,714,213900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,213900,0,28700,74870
"050-005962",520.15605338700,17113.19319090000,"050-005962","050-005962-00","050-N042MMM-02100",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,290,1950,837,241300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86100,241300,0,30140,84460
"050-005963",468.44641364800,11841.17274610000,"050-005963","050-005963-00","050-N042MMM-02000",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,2007,2007,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,292,1704,714,230000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86100,230000,0,30140,80500
"050-005964",534.41896794500,18261.05683520000,"050-005964","050-005964-00","050-N042MMM-01900",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.784,830,1.69,1,1.05,80,,830,290,1950,841,249800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86100,249800,0,30140,87430
"050-005965",446.43338853500,10618.74744270000,"050-005965","050-005965-00","050-N042MMM-01800",1,6,3,1,,2,1,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,700,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1289,205700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,205700,0,28700,72000
"050-005966",451.79342833800,11058.54434660000,"050-005966","050-005966-00","050-N042MMM-01700",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,300,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,130,1542,715,226000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,226000,0,28700,79100
"050-005967",480.34229136800,13861.75154160000,"050-005967","050-005967-00","050-N042MMM-01600",1,7,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,336,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1991,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1289,191400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,191400,0,28700,66990
"050-005968",479.15621355600,13794.83888510000,"050-005968","050-005968-00","050-N042MMM-01500",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1992,,,A - AVERAGE,0.712,706,1.69,1,1.05,80,,706,242,1654,716,222500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,82000,222500,0,28700,77880
"050-005969",449.50226577600,10811.45134860000,"050-005969","050-005969-00","050-N042MMM-01400",1,5,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,9,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1992,,,A - AVERAGE,1.047,1280,1,1,0.95,80,,1280,16,1296,1286,171400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,97100,171400,0,33990,59990
